"track_name","artists","track_genre","popularity","genre_rank"
"Go Down Deh (feat. Shaggy and Sean Paul)","Spice;Shaggy;Sean Paul","j-dance",74,2
"679 (feat. Remy Boyz)","Fetty Wap;Remy Boyz","j-dance",74,2
"Trap Queen","Fetty Wap","j-dance",74,2
"Plastic Love","Mariya Takeuchi","j-idol",65,1
"Gimme Chocolate!!","BABYMETAL","j-idol",59,2
"BxMxC","BABYMETAL","j-idol",58,3
"secret base ~君がくれたもの~","ZONE","j-idol",58,3
"Shinunoga E-Wa","Fujii Kaze","j-pop",85,1
"KICK BACK","Kenshi Yonezu","j-pop",83,2
"Overdose","なとり","j-pop",78,3
"ダンスホール","Mrs. GREEN APPLE","j-rock",77,1
"残響散歌","Aimer","j-rock",77,1
"紅蓮華","LiSA","j-rock",74,3
"水平線","back number","j-rock",74,3
"SOUVENIR","BUMP OF CHICKEN","j-rock",74,3
"September","Earth, Wind & Fire","jazz",83,1
"Just the Two of Us (feat. Bill Withers)","Grover Washington, Jr.;Bill Withers","jazz",77,2
"Boogie Wonderland","Earth, Wind & Fire;The Emotions","jazz",76,3
"Don't Know Why","Norah Jones","jazz",76,3
"After LIKE","IVE","k-pop",88,1
"Shut Down","BLACKPINK","k-pop",87,2
"First Class","Jack Harlow","k-pop",86,3
"Talk that Talk","TWICE","k-pop",86,3
"Cupid Shuffle","Cupid","kids",63,1
"Slippery Fish","Amy Liz","kids",58,2
"Baby Shark Breakbeat","Dede Sabunge","kids",56,3
"La Bachata","Manuel Turizo","latin",98,1
"Tití Me Preguntó","Bad Bunny","latin",97,2
"Me Porto Bonito","Bad Bunny;Chencho Corleone","latin",97,2
"La Bachata","Manuel Turizo","latino",98,1
"Tití Me Preguntó","Bad Bunny","latino",97,2
"Me Porto Bonito","Bad Bunny;Chencho Corleone","latino",97,2
"Manavaalan Thug - From ""Thallumaala""","Dabzee;SA","malay",72,1
"Cinta Ini Membunuhku","D’MASIV","malay",65,2
"慢冷","Fish Leong","malay",62,3
"Sempurna","Insomniacks","malay",62,3
"Satu Malam Di Temasek","Joe Flizzow;SonaOne","malay",62,3
"如果可以 - 電影""月老""主題曲","WeiBird","mandopop",71,1
"最後一堂課 - 《媽,別鬧了!》影集片尾曲","Eric Chou","mandopop",67,2
"孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲","Eason Chan","mandopop",67,2
"Mary On A Cross","Ghost","metal",88,1
"Livin' On A Prayer","Bon Jovi","metal",85,2
"In the End","Linkin Park","metal",85,2
"Can You Feel My Heart","Bring Me The Horizon","metalcore",81,1
"FEEL NOTHING","The Plot In You","metalcore",76,2
"Popular Monster","Falling In Reverse","metalcore",75,3
"sTraNgeRs","Bring Me The Horizon","metalcore",75,3
"Sky and Sand","Paul Kalkbrenner;Fritz Kalkbrenner","minimal-techno",68,1
"Rave Harder Techno Bass","Mark Dekoda","minimal-techno",67,2
"Gravity","Boris Brejcha;Laura Korinth","minimal-techno",64,3
"Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack","Rodrigo Amarante","mpb",66,1
"Tuyo (Narcos Theme) - A Netflix Original Series Soundtrack","Rodrigo Amarante","mpb",65,2
"Fácil - Acústico","Jota Quest","mpb",54,3
"Outro Lugar","Detonautas Roque Clube","mpb",54,3
"River Flows In You","Yiruma","new-age",71,1
