"artists","total_count"
"Three Dog Night",4
"Tianastacia",4
"Tim Maia",4
"Tito ""El Bambino""",4
"Tito ""El Bambino"";Beenie Man;Ines",4
"Tito ""El Bambino"";Randy",4
"Titãs",4
"Tiësto",4
"Tiësto;Ava Max",4
"Tiësto;Becky Hill",4
"Tiësto;Charli XCX",4
"Tiësto;KAROL G",4
"Tiësto;Mabel",4
"Tiësto;Stevie Appleton",4
"Todos Tus Muertos",4
"Tom Petty",4
"Tom Petty and the Heartbreakers",4
"Tony Dize",4
"Tony Dize;Ken-Y;Marioso",4
"Tony Dize;Yandel",4
"Topic;A7S",4
"Topic;A7S;Lil Baby",4
"Topic;Bebe Rexha",4
"Topic;John Martin",4
"Topic;Robin Schulz;Nico Santos;Paul van Dyk",4
"Tritonal;Angel Taylor;Koven",4
"Tritonal;Ross Lynch;R5",4
"TroyBoi",4
"TroyBoi;Diplo;Nina Sky",4
"Tungevaag;Raaban;A7S",4
"Type O Negative",4
"Ultraje a Rigor",4
"Vasu Raina",4
"Vicetone",4
"Vicetone;Cozi Zuehlsdorff",4
"Vicetone;Tony Igy",4
"Vismay Patel",4
"Volbeat",4
"WANIMA",4
"We The Kings;Elena Coates",4
"Weezer",4
"Weezer;AJR",4
"When Chai Met Toast",4
"White Zombie",4
"Whitesnake",4
"Wilson Pickett",4
"Worakls",4
"Yandel;Sebastian Yatra;Manuel Turizo",4
"Yellow Claw;Yade Lauren",4
"Yeni Türkü",4
"York;Sin Plomo;Janet Taylor;JJ Flores",4
"You Me At Six",4
"Yura Yunita",4
"Yusuf / Cat Stevens",4
"ZZ Top",4
"Zaeden",4
"Zaeden;AAKASH",4
"Zaeden;Hanita Bhambri",4
"Zaeden;Polar",4
"Zaeden;Stunnah Beatz",4
"Zaeden;Yashraj;AAKASH",4
"Zaeden;somanshu",4
"Zara Larsson;MNEK",4
"Zara Larsson;Sabrina Carpenter",4
"Zariya;Aseem",4
"Zeds Dead;Blanke",4
"Zeds Dead;Dragonette;DNMO",4
"Zeds Dead;MKLA",4
"Zeki Müren",4
"Zeph",4
"Zion & Lennox",4
"Zion & Lennox;J Balvin",4
"coldrain;Ryo",4
"flora cash",4
"menores atos",4
"Ñejo & Dalmata",4
"10cc",4
"İlhan İrem",4
"9mm Parabellum Bullet",4
"? & The Mysterians",4
"A Rocket To The Moon",4
"Afrojack;Black V Neck;Muni Long",4
"Afrojack;David Guetta;Ester Dean",4
"Afrojack;R3HAB;Au/Ra",4
"Afrojack;Spree Wilson",4
"Agoria",4
"Agoria;David Carretta",4
"Aimer",4
"Alejo;Feid;ROBI",4
"Alesso",4
"Alesso;Katy Perry",4
"Alesso;Marshmello;James Bay",4
"Alesso;Sentinel",4
"Alesso;TINI",4
"Alesso;Tove Lo",4
"Alex M.O.R.P.H.",4
"Alexis y Fido;Justin Quiles",4
"Alexis y Fido;Yandel",4
"Alice In Chains",4
"Alle Farben;PollyAnna",4
"Alter Bridge",4
"Alvaro Diaz",4
"Alvaro Diaz;Feid;Tainy",4
"Alvaro Diaz;Rauw Alejandro",4
"Andrés Calamaro",4
"Andrés Calamaro;Alejandro Sanz",4
"Andrés Calamaro;Carlos Vives",4
"Andrés Calamaro;Juanes;Niño Josele",4
"Andrés Calamaro;Julio Iglesias",4
"Andrés Calamaro;Sebastian Yatra;Leiva;Ivan Ferreiro",4
"Andrés Calamaro;Vicentico",4
"Angel Y Khriz",4
"Angel Y Khriz;Gocho ""El Lápiz De Platino"";John Eric",4
"Ankur Tewari;Mikey McCleary",4
"Ankur Tewari;The Ghalat Family",4
"Anna of the North",4
"AnnenMayKantereit;Giant Rooks",4
"Anthony Keyrouz;Paradigm",4
"Anuel AA;KAROL G",4
"Anupam Roy;Iman Chakraborty",4
"Anuv Jain",4
"Ara Ketu",4
"Arijit Anand",4
"Arijit Anand;Ankita Barwad",4
"Armin van Buuren",4
"Armin van Buuren;Hardwell",4
"Armin van Buuren;Vini Vici;Hilight Tribe",4
"Asu Maralman",4
"Atreyu",4
"Audioslave",4
"Axwell /\ Ingrosso",4
"Ayten Alpman",4
"B.B. King",4
"BBS Paranoicos",4
